N,accept_rate,collect_calls,edge_modules,error,global_modules,json_path,node_modules,ok,omega,sampler,variant
2,,,0,"RuntimeError: Error(s) in loading state_dict for CTNNBackflowNet:
	Missing key(s) in state_dict: ""node_embed.weight"", ""node_embed.bias"", ""edge_embed.0.weight"", ""edge_embed.0.bias"", ""edge_embed.2.weight"", ""edge_embed.2.bias"", ""rho_v_to_e.weight"", ""rho_e_to_v.weight"", ""edge_update.0.weight"", ""edge_update.0.bias"", ""edge_update.2.weight"", ""edge_update.2.bias"", ""node_update.0.weight"", ""node_update.0.bias"", ""node_update.2.weight"", ""node_update.2.bias"", ""node_update.4.weight"", ""node_update.4.bias"", ""dx_head.weight"", ""dx_head.bias"". 
	Unexpected key(s) in state_dict: ""phi.0.weight"", ""phi.0.bias"", ""phi.2.weight"", ""phi.2.bias"", ""psi.0.weight"", ""psi.0.bias"", ""psi.2.weight"", ""psi.2.bias"". ",0,../results/tables/newer/repgeom/SR/N2_omega0.001.json,0,False,0.001,,SR
2,0.35104166666666664,5,9,,8,../results/tables/newer/repgeom/CTNN/N2_omega0.001.json,10,True,0.001,mcmc,CTNN
2,,,0,"RuntimeError: Error(s) in loading state_dict for CTNNBackflowNet:
	Missing key(s) in state_dict: ""node_embed.weight"", ""node_embed.bias"", ""edge_embed.0.weight"", ""edge_embed.0.bias"", ""edge_embed.2.weight"", ""edge_embed.2.bias"", ""rho_v_to_e.weight"", ""rho_e_to_v.weight"", ""edge_update.0.weight"", ""edge_update.0.bias"", ""edge_update.2.weight"", ""edge_update.2.bias"", ""node_update.0.weight"", ""node_update.0.bias"", ""node_update.2.weight"", ""node_update.2.bias"", ""node_update.4.weight"", ""node_update.4.bias"", ""dx_head.weight"", ""dx_head.bias"". 
	Unexpected key(s) in state_dict: ""phi.0.weight"", ""phi.0.bias"", ""phi.2.weight"", ""phi.2.bias"", ""psi.0.weight"", ""psi.0.bias"", ""psi.2.weight"", ""psi.2.bias"". ",0,../results/tables/newer/repgeom/SR/N2_omega0.01.json,0,False,0.01,,SR
2,0.4584077380952381,5,9,,8,../results/tables/newer/repgeom/CTNN/N2_omega0.01.json,10,True,0.01,mcmc,CTNN
2,,,0,"RuntimeError: Error(s) in loading state_dict for CTNNBackflowNet:
	Missing key(s) in state_dict: ""node_embed.weight"", ""node_embed.bias"", ""edge_embed.0.weight"", ""edge_embed.0.bias"", ""edge_embed.2.weight"", ""edge_embed.2.bias"", ""rho_v_to_e.weight"", ""rho_e_to_v.weight"", ""edge_update.0.weight"", ""edge_update.0.bias"", ""edge_update.2.weight"", ""edge_update.2.bias"", ""node_update.0.weight"", ""node_update.0.bias"", ""node_update.2.weight"", ""node_update.2.bias"", ""node_update.4.weight"", ""node_update.4.bias"", ""dx_head.weight"", ""dx_head.bias"". 
	Unexpected key(s) in state_dict: ""phi.0.weight"", ""phi.0.bias"", ""phi.2.weight"", ""phi.2.bias"", ""psi.0.weight"", ""psi.0.bias"", ""psi.2.weight"", ""psi.2.bias"". ",0,../results/tables/newer/repgeom/SR/N2_omega0.1.json,0,False,0.1,,SR
2,0.6654017857142858,5,9,,8,../results/tables/newer/repgeom/CTNN/N2_omega0.1.json,10,True,0.1,mcmc,CTNN
2,,,0,"RuntimeError: Error(s) in loading state_dict for CTNNBackflowNet:
	Missing key(s) in state_dict: ""node_embed.weight"", ""node_embed.bias"", ""edge_embed.0.weight"", ""edge_embed.0.bias"", ""edge_embed.2.weight"", ""edge_embed.2.bias"", ""rho_v_to_e.weight"", ""rho_e_to_v.weight"", ""edge_update.0.weight"", ""edge_update.0.bias"", ""edge_update.2.weight"", ""edge_update.2.bias"", ""node_update.0.weight"", ""node_update.0.bias"", ""node_update.2.weight"", ""node_update.2.bias"", ""node_update.4.weight"", ""node_update.4.bias"", ""dx_head.weight"", ""dx_head.bias"". 
	Unexpected key(s) in state_dict: ""phi.0.weight"", ""phi.0.bias"", ""phi.2.weight"", ""phi.2.bias"", ""psi.0.weight"", ""psi.0.bias"", ""psi.2.weight"", ""psi.2.bias"". ",0,../results/tables/newer/repgeom/SR/N2_omega0.5.json,0,False,0.5,,SR
2,0.8491071428571428,5,9,,8,../results/tables/newer/repgeom/CTNN/N2_omega0.5.json,10,True,0.5,mcmc,CTNN
2,,,0,"RuntimeError: Error(s) in loading state_dict for CTNNBackflowNet:
	Missing key(s) in state_dict: ""node_embed.weight"", ""node_embed.bias"", ""edge_embed.0.weight"", ""edge_embed.0.bias"", ""edge_embed.2.weight"", ""edge_embed.2.bias"", ""rho_v_to_e.weight"", ""rho_e_to_v.weight"", ""edge_update.0.weight"", ""edge_update.0.bias"", ""edge_update.2.weight"", ""edge_update.2.bias"", ""node_update.0.weight"", ""node_update.0.bias"", ""node_update.2.weight"", ""node_update.2.bias"", ""node_update.4.weight"", ""node_update.4.bias"", ""dx_head.weight"", ""dx_head.bias"". 
	Unexpected key(s) in state_dict: ""phi.0.weight"", ""phi.0.bias"", ""phi.2.weight"", ""phi.2.bias"", ""psi.0.weight"", ""psi.0.bias"", ""psi.2.weight"", ""psi.2.bias"". ",0,../results/tables/newer/repgeom/SR/N2_omega1.0.json,0,False,1.0,,SR
2,0.9106398809523809,5,9,,8,../results/tables/newer/repgeom/CTNN/N2_omega1.0.json,10,True,1.0,mcmc,CTNN
