N,omega_str,omega,run_name,f_ckpt,bf_ckpt,acc_mix,step_sigma,delta_logpsi_mean,dx_norm_mean,E_BF_mean,E_BF_stderr,E_noBF_mean,E_noBF_stderr,dE_mean
2,1,1.0,w_10,../results/models/2p/w_10/f_netCTNN.pt,../results/models/2p/w_10/backflowCTNN.pt,0.5982421875,0.44290896073487,0.04053044725933469,0.029332586181110808,,,,,
2,0p5,0.5,w_05,../results/models/2p/w_05/f_netCTNN.pt,../results/models/2p/w_05/backflowCTNN.pt,0.601220703125,0.4416070476436578,-1.1948531957167025e-07,1.0081162743044597e-06,,,,,
2,0p1,0.1,w_01,../results/models/2p/w_01/f_netCTNN.pt,../results/models/2p/w_01/backflowCTNN.pt,0.650390625,0.38660395773965417,-4.940734927806265e-07,1.3555867883665126e-06,,,,,
2,0p01,0.01,w_00,../results/models/2p/w_00/f_netCTNN_01.pt,../results/models/2p/w_00/backflowCTNN_01.pt,0.678466796875,0.18741110491817045,-1.2339088084623029e-14,1.0000000000000014e-06,,,,,
2,0p001,0.001,w_00,../results/models/2p/w_00/f_netCTNN_001.pt,../results/models/2p/w_00/backflowCTNN_001.pt,0.54482421875,0.851546050082211,nan,0.04778246242523641,,,,,
6,1,1.0,w_10,../results/models/6p/w_10/f_netCTNN.pt,../results/models/6p/w_10/backflowCTNN.pt,0.594287109375,0.21433346983830312,-0.09908793508306947,0.08784490255977315,,,,,
6,0p5,0.5,w_05,../results/models/6p/w_05/f_netCTNN.pt,../results/models/6p/w_05/backflowCTNN.pt,0.58955078125,0.23722179051679626,-0.8706839991013944,0.1988149677799197,,,,,
6,0p1,0.1,w_01,../results/models/6p/w_01/f_netCTNN.pt,../results/models/6p/w_01/backflowCTNN.pt,0.562158203125,0.1650389641576436,-0.9355573952656975,0.4737759271395517,,,,,
6,0p01,0.01,w_00,../results/models/6p/w_00/f_netCTNN_01.pt,../results/models/6p/w_00/backflowCTNN_01.pt,0.58544921875,0.1109754288727621,-4.1331642399243,0.2773546564589207,,,,,
6,0p001,0.001,w_00,../results/models/6p/w_00/f_netCTNN_001.pt,../results/models/6p/w_00/backflowCTNN_001.pt,0.663232421875,6.622696645929334,nan,0.42128211935340204,,,,,
12,1,1.0,w_10,../results/models/12p/w_10/f_netCTNN.pt,../results/models/12p/w_10/backflowCTNN.pt,0.666650390625,0.106630036626421,-0.6604690052228284,0.11285164507258981,,,,,
12,0p5,0.5,w_05,../results/models/12p/w_05/f_netCTNN.pt,../results/models/12p/w_05/backflowCTNN.pt,0.655517578125,0.12031700670331277,-3.3366701021163565,0.2395063025991369,,,,,
12,0p1,0.1,w_01,../results/models/12p/w_01/f_netCTNN.pt,../results/models/12p/w_01/backflowCTNN.pt,0.582177734375,0.10130724912970906,-12.702374600806408,0.5503878540534567,,,,,
12,0p01,0.01,w_00,../results/models/12p/w_00/f_netCTNN_01.pt,../results/models/12p/w_00/backflowCTNN_01.pt,0.565869140625,0.08270026106394236,0.7178412281055314,0.05325217521299677,,,,,
12,0p001,0.001,w_00,../results/models/12p/w_00/f_netCTNN_001.pt,../results/models/12p/w_00/backflowCTNN_001.pt,0.91015625,25.453974563318738,nan,0.5038194454158519,,,,,
20,1,1.0,w_10,../results/models/20p/w_10/f_netCTNN.pt,../results/models/20p/w_10/backflowCTNN.pt,0.6244140625,0.07922313564406257,-1.5125227255730795,0.12853586832850666,,,,,
20,0p5,0.5,w_05,../results/models/20p/w_05/f_netCTNN.pt,../results/models/20p/w_05/backflowCTNN.pt,0.6630859375,0.06826758082943918,-6.948437796323992,0.321290341323888,,,,,
20,0p1,0.1,w_01,../results/models/20p/w_01/f_netCTNN.pt,../results/models/20p/w_01/backflowCTNN.pt,0.630078125,0.08372187575882743,-26.4740543768367,0.5514135590872995,,,,,
20,0p01,0.01,w_00,../results/models/20p/w_00/f_netCTNN_01.pt,../results/models/20p/w_00/backflowCTNN_01.pt,0.55029296875,0.056524674081407406,-28.369178481256554,0.33585241559941437,,,,,
20,0p001,0.001,w_00,../results/models/20p/w_00/f_netCTNN_001.pt,../results/models/20p/w_00/backflowCTNN_001.pt,0.99609375,45.8041933494912,nan,0.8648922919893105,,,,,
