file,N,omega,particle,share
analysis_CTNN_N2_omega_0.001.json,2,0.001,0,0.49999999999950007
analysis_CTNN_N2_omega_0.001.json,2,0.001,1,0.49999999999949984
analysis_CTNN_N2_omega_0.01.json,2,0.01,0,0.0
analysis_CTNN_N2_omega_0.01.json,2,0.01,1,0.9999999999989999
analysis_CTNN_N2_omega_0.1.json,2,0.1,0,0.49999999999896944
analysis_CTNN_N2_omega_0.1.json,2,0.1,1,0.5000000000000305
analysis_CTNN_N2_omega_0.5.json,2,0.5,0,0.49999999999882594
analysis_CTNN_N2_omega_0.5.json,2,0.5,1,0.5000000000001741
analysis_CTNN_N2_omega_1.0.json,2,1.0,0,0.4999999999995002
analysis_CTNN_N2_omega_1.0.json,2,1.0,1,0.4999999999994998
analysis_CTNN_N6_omega_0.001.json,6,0.001,0,0.18026389689041186
analysis_CTNN_N6_omega_0.001.json,6,0.001,1,0.1573323692743807
analysis_CTNN_N6_omega_0.001.json,6,0.001,2,0.16098833318440328
analysis_CTNN_N6_omega_0.001.json,6,0.001,3,0.17151791060912847
analysis_CTNN_N6_omega_0.001.json,6,0.001,4,0.14162665664121724
analysis_CTNN_N6_omega_0.001.json,6,0.001,5,0.1882708333994583
analysis_CTNN_N6_omega_0.01.json,6,0.01,0,0.15392610935987108
analysis_CTNN_N6_omega_0.01.json,6,0.01,1,0.159169469571414
analysis_CTNN_N6_omega_0.01.json,6,0.01,2,0.1868347816285659
analysis_CTNN_N6_omega_0.01.json,6,0.01,3,0.1317175207498072
analysis_CTNN_N6_omega_0.01.json,6,0.01,4,0.17420945210168132
analysis_CTNN_N6_omega_0.01.json,6,0.01,5,0.1941426665876605
analysis_CTNN_N6_omega_0.1.json,6,0.1,0,0.20682078267229675
analysis_CTNN_N6_omega_0.1.json,6,0.1,1,0.13819715972117866
analysis_CTNN_N6_omega_0.1.json,6,0.1,2,0.13200451343960365
analysis_CTNN_N6_omega_0.1.json,6,0.1,3,0.18267599101225387
