file,N,omega,k,rel_err_pc,rel_err_rand
analysis_CTNN_N2_omega_0.001.json,2,0.001,1,0.405275439738468,0.7954366207122803
analysis_CTNN_N2_omega_0.001.json,2,0.001,2,4.175485897711054e-16,0.7349477410316467
analysis_CTNN_N2_omega_0.001.json,2,0.001,3,3.8260481040768185e-16,0.43740877509117126
analysis_CTNN_N2_omega_0.001.json,2,0.001,4,3.3586434733464396e-16,3.1286133347748965e-16
analysis_CTNN_N2_omega_0.001.json,2,0.001,6,3.3586434733464396e-16,4.140917233115088e-16
analysis_CTNN_N2_omega_0.001.json,2,0.001,8,3.3586434733464396e-16,2.9924149367189373e-16
analysis_CTNN_N2_omega_0.001.json,2,0.001,12,3.3586434733464396e-16,3.791036774664102e-16
analysis_CTNN_N2_omega_0.01.json,2,0.01,1,0.14808833466222002,0.11555955559015274
analysis_CTNN_N2_omega_0.01.json,2,0.01,2,0.14808833466222002,0.11232450604438782
analysis_CTNN_N2_omega_0.01.json,2,0.01,3,0.10471287414189093,0.044716011732816696
analysis_CTNN_N2_omega_0.01.json,2,0.01,4,2.1112518301189816e-19,3.69159027592167e-17
analysis_CTNN_N2_omega_0.01.json,2,0.01,6,2.1112518301189816e-19,5.253821447890549e-17
analysis_CTNN_N2_omega_0.01.json,2,0.01,8,2.1112518301189816e-19,5.1621337709449665e-17
analysis_CTNN_N2_omega_0.01.json,2,0.01,12,2.1112518301189816e-19,5.678633948101447e-17
analysis_CTNN_N2_omega_0.1.json,2,0.1,1,0.008223509969130618,0.7801547050476074
analysis_CTNN_N2_omega_0.1.json,2,0.1,2,5.82898280249907e-11,0.757498562335968
analysis_CTNN_N2_omega_0.1.json,2,0.1,3,4.1156343273990284e-11,0.30325523018836975
analysis_CTNN_N2_omega_0.1.json,2,0.1,4,2.0705102093903137e-16,2.6008167821266973e-16
analysis_CTNN_N2_omega_0.1.json,2,0.1,6,2.0705102093903137e-16,3.671969088570769e-16
analysis_CTNN_N2_omega_0.1.json,2,0.1,8,2.0705102093903137e-16,3.560694634987768e-16
analysis_CTNN_N2_omega_0.1.json,2,0.1,12,2.0705102093903137e-16,3.9568426799957434e-16
analysis_CTNN_N2_omega_0.5.json,2,0.5,1,0.28357037995851847,0.8013582825660706
analysis_CTNN_N2_omega_0.5.json,2,0.5,2,1.5061438494246196e-10,0.7833427786827087
analysis_CTNN_N2_omega_0.5.json,2,0.5,3,1.0619988832212307e-10,0.3281819224357605
analysis_CTNN_N2_omega_0.5.json,2,0.5,4,2.370663890741258e-16,2.738053324938635e-16
analysis_CTNN_N2_omega_0.5.json,2,0.5,6,2.370663890741258e-16,4.0411740743177696e-16
analysis_CTNN_N2_omega_0.5.json,2,0.5,8,2.370663890741258e-16,3.5624207293155944e-16
analysis_CTNN_N2_omega_0.5.json,2,0.5,12,2.370663890741258e-16,3.938802995801595e-16
analysis_CTNN_N2_omega_1.0.json,2,1.0,1,0.6926363168325194,0.8068135380744934
analysis_CTNN_N2_omega_1.0.json,2,1.0,2,4.096283070032968e-16,0.7590975165367126
analysis_CTNN_N2_omega_1.0.json,2,1.0,3,3.13537004712151e-16,0.4123172461986542
analysis_CTNN_N2_omega_1.0.json,2,1.0,4,2.6351979771512575e-16,2.96397342323471e-16
analysis_CTNN_N2_omega_1.0.json,2,1.0,6,2.6351979771512575e-16,4.176099275974887e-16
analysis_CTNN_N2_omega_1.0.json,2,1.0,8,2.6351979771512575e-16,3.2723434439187226e-16
analysis_CTNN_N2_omega_1.0.json,2,1.0,12,2.6351979771512575e-16,3.906231137908319e-16
analysis_CTNN_N6_omega_0.001.json,6,0.001,1,0.9215250836963048,0.9581907391548157
analysis_CTNN_N6_omega_0.001.json,6,0.001,2,0.8464746435364864,0.91450434923172
analysis_CTNN_N6_omega_0.001.json,6,0.001,3,0.7841756355215251,0.8711738586425781
analysis_CTNN_N6_omega_0.001.json,6,0.001,4,0.7200421563551606,0.8185648918151855
analysis_CTNN_N6_omega_0.001.json,6,0.001,6,0.5765625043609877,0.714893639087677
analysis_CTNN_N6_omega_0.001.json,6,0.001,8,0.4007072253129177,0.5720301270484924
analysis_CTNN_N6_omega_0.001.json,6,0.001,12,9.272460313193215e-16,5.783785544615882e-16
analysis_CTNN_N6_omega_0.01.json,6,0.01,1,0.9048798649843658,0.9581298828125
analysis_CTNN_N6_omega_0.01.json,6,0.01,2,0.8155022212676887,0.9131402969360352
analysis_CTNN_N6_omega_0.01.json,6,0.01,3,0.7542237122547973,0.8687255382537842
analysis_CTNN_N6_omega_0.01.json,6,0.01,4,0.6912230164312388,0.8180795311927795
analysis_CTNN_N6_omega_0.01.json,6,0.01,6,0.5544444135117933,0.7150766253471375
analysis_CTNN_N6_omega_0.01.json,6,0.01,8,0.38500671134697967,0.5731768608093262
analysis_CTNN_N6_omega_0.01.json,6,0.01,12,7.076666640136282e-16,5.780721932324782e-16
analysis_CTNN_N6_omega_0.1.json,6,0.1,1,0.9252188336815023,0.9587730765342712
analysis_CTNN_N6_omega_0.1.json,6,0.1,2,0.853783563725023,0.914010226726532
analysis_CTNN_N6_omega_0.1.json,6,0.1,3,0.7856074750038273,0.8712493777275085
analysis_CTNN_N6_omega_0.1.json,6,0.1,4,0.7201956701691803,0.8194160461425781
analysis_CTNN_N6_omega_0.1.json,6,0.1,6,0.5756103785470569,0.7161240577697754
analysis_CTNN_N6_omega_0.1.json,6,0.1,8,0.39807376177617637,0.5759677290916443
analysis_CTNN_N6_omega_0.1.json,6,0.1,12,9.383900521343003e-16,5.783200562486685e-16
analysis_CTNN_N6_omega_0.5.json,6,0.5,1,0.9404970283689108,0.9586279988288879
analysis_CTNN_N6_omega_0.5.json,6,0.5,2,0.878846428140311,0.9133160710334778
analysis_CTNN_N6_omega_0.5.json,6,0.5,3,0.8150483016886851,0.8720875382423401
analysis_CTNN_N6_omega_0.5.json,6,0.5,4,0.7469066776923372,0.8178253173828125
analysis_CTNN_N6_omega_0.5.json,6,0.5,6,0.5968932912470802,0.7115275859832764
analysis_CTNN_N6_omega_0.5.json,6,0.5,8,0.41258885707830134,0.5739041566848755
analysis_CTNN_N6_omega_0.5.json,6,0.5,12,6.313864361596691e-16,5.864783070197075e-16
analysis_CTNN_N6_omega_1.0.json,6,1.0,1,0.9358404708696773,0.9576248526573181
analysis_CTNN_N6_omega_1.0.json,6,1.0,2,0.8711691748775476,0.9139871597290039
analysis_CTNN_N6_omega_1.0.json,6,1.0,3,0.8030258908844211,0.872802197933197
analysis_CTNN_N6_omega_1.0.json,6,1.0,4,0.7325633654613742,0.8165221810340881
analysis_CTNN_N6_omega_1.0.json,6,1.0,6,0.5773965188384451,0.7099516987800598
analysis_CTNN_N6_omega_1.0.json,6,1.0,8,0.3860794485226796,0.5740424394607544
analysis_CTNN_N6_omega_1.0.json,6,1.0,12,7.371358175132315e-16,5.884299768092998e-16
analysis_CTNN_N12_omega_0.001.json,12,0.001,1,0.967092507963747,0.9801392555236816
analysis_CTNN_N12_omega_0.001.json,12,0.001,2,0.9358223622762694,0.9570713639259338
analysis_CTNN_N12_omega_0.001.json,12,0.001,3,0.9048151080004679,0.9356209635734558
analysis_CTNN_N12_omega_0.001.json,12,0.001,4,0.8736311192960834,0.9130693078041077
analysis_CTNN_N12_omega_0.001.json,12,0.001,6,0.8096674332848343,0.8655708432197571
analysis_CTNN_N12_omega_0.001.json,12,0.001,8,0.7433745244228935,0.812960684299469
analysis_CTNN_N12_omega_0.001.json,12,0.001,12,0.6078102971464749,0.7062121033668518
analysis_CTNN_N12_omega_0.01.json,12,0.01,1,0.9641025712704708,0.9798696637153625
analysis_CTNN_N12_omega_0.01.json,12,0.01,2,0.9309788610532095,0.95797199010849
analysis_CTNN_N12_omega_0.01.json,12,0.01,3,0.9006230548314009,0.9355592727661133
analysis_CTNN_N12_omega_0.01.json,12,0.01,4,0.8710099883426854,0.9126269221305847
analysis_CTNN_N12_omega_0.01.json,12,0.01,6,0.8101076779793212,0.8650698661804199
analysis_CTNN_N12_omega_0.01.json,12,0.01,8,0.7472123040706632,0.8120362162590027
analysis_CTNN_N12_omega_0.01.json,12,0.01,12,0.6130961456489191,0.7067041397094727
analysis_CTNN_N12_omega_0.1.json,12,0.1,1,0.9696308955286799,0.9800455570220947
analysis_CTNN_N12_omega_0.1.json,12,0.1,2,0.9398065952919998,0.9566858410835266
analysis_CTNN_N12_omega_0.1.json,12,0.1,3,0.9095389071885788,0.9359272122383118
analysis_CTNN_N12_omega_0.1.json,12,0.1,4,0.878757607945122,0.9130440354347229
analysis_CTNN_N12_omega_0.1.json,12,0.1,6,0.8175004378554861,0.8663850426673889
analysis_CTNN_N12_omega_0.1.json,12,0.1,8,0.7552449593360315,0.8143434524536133
analysis_CTNN_N12_omega_0.1.json,12,0.1,12,0.6218102256503016,0.7085956931114197
analysis_CTNN_N12_omega_0.5.json,12,0.5,1,0.966903027329847,0.9800969958305359
analysis_CTNN_N12_omega_0.5.json,12,0.5,2,0.9354435730122695,0.9573857188224792
analysis_CTNN_N12_omega_0.5.json,12,0.5,3,0.9056898580171474,0.936513364315033
analysis_CTNN_N12_omega_0.5.json,12,0.5,4,0.8752565815671154,0.912203848361969
analysis_CTNN_N12_omega_0.5.json,12,0.5,6,0.8144511683520854,0.8653625845909119
analysis_CTNN_N12_omega_0.5.json,12,0.5,8,0.751420454518109,0.8117110133171082
analysis_CTNN_N12_omega_0.5.json,12,0.5,12,0.6191026369289522,0.7075434327125549
analysis_CTNN_N12_omega_1.0.json,12,1.0,1,0.970405270468216,0.9799221158027649
analysis_CTNN_N12_omega_1.0.json,12,1.0,2,0.9406964664011913,0.9572534561157227
analysis_CTNN_N12_omega_1.0.json,12,1.0,3,0.9104942940780578,0.9363958239555359
analysis_CTNN_N12_omega_1.0.json,12,1.0,4,0.8799525911104272,0.9134831428527832
analysis_CTNN_N12_omega_1.0.json,12,1.0,6,0.8179736280279588,0.8653413653373718
analysis_CTNN_N12_omega_1.0.json,12,1.0,8,0.7546409682487482,0.8148630261421204
analysis_CTNN_N12_omega_1.0.json,12,1.0,12,0.6169227801509443,0.7081716656684875
analysis_CTNN_N20_omega_0.001 (1).json,20,0.001,1,0.980541906491104,0.9875576496124268
analysis_CTNN_N20_omega_0.001.json,20,0.001,1,0.980541906491104,0.9875576496124268
analysis_CTNN_N20_omega_0.001 (1).json,20,0.001,2,0.9612528197990066,0.9743916392326355
analysis_CTNN_N20_omega_0.001.json,20,0.001,2,0.9612528197990066,0.9743916392326355
analysis_CTNN_N20_omega_0.001 (1).json,20,0.001,3,0.9425260378138217,0.961618185043335
analysis_CTNN_N20_omega_0.001.json,20,0.001,3,0.9425260378138217,0.961618185043335
analysis_CTNN_N20_omega_0.001 (1).json,20,0.001,4,0.923686846815441,0.9483329653739929
analysis_CTNN_N20_omega_0.001.json,20,0.001,4,0.923686846815441,0.9483329653739929
analysis_CTNN_N20_omega_0.001 (1).json,20,0.001,6,0.8862738258409093,0.9223996996879578
analysis_CTNN_N20_omega_0.001.json,20,0.001,6,0.8862738258409093,0.9223996996879578
analysis_CTNN_N20_omega_0.001 (1).json,20,0.001,8,0.8484388196482023,0.8945214152336121
analysis_CTNN_N20_omega_0.001.json,20,0.001,8,0.8484388196482023,0.8945214152336121
analysis_CTNN_N20_omega_0.001 (1).json,20,0.001,12,0.7717141133687728,0.8357040286064148
analysis_CTNN_N20_omega_0.001.json,20,0.001,12,0.7717141133687728,0.8357040286064148
analysis_CTNN_N20_omega_0.01.json,20,0.01,1,0.9789690871685747,0.9872910976409912
analysis_CTNN_N20_omega_0.01.json,20,0.01,2,0.959186939845035,0.9745948910713196
analysis_CTNN_N20_omega_0.01.json,20,0.01,3,0.939927885515874,0.9620634913444519
analysis_CTNN_N20_omega_0.01.json,20,0.01,4,0.9214568166717318,0.9490795731544495
analysis_CTNN_N20_omega_0.01.json,20,0.01,6,0.8852834250574287,0.9229524731636047
analysis_CTNN_N20_omega_0.01.json,20,0.01,8,0.8493704166034975,0.8946898579597473
analysis_CTNN_N20_omega_0.01.json,20,0.01,12,0.7758487806285125,0.836238443851471
analysis_CTNN_N20_omega_0.5.json,20,0.5,1,0.9811617516581332,0.9873676896095276
analysis_CTNN_N20_omega_0.5.json,20,0.5,2,0.9628502619407717,0.9747349619865417
analysis_CTNN_N20_omega_0.5.json,20,0.5,3,0.9446651499584426,0.961656391620636
analysis_CTNN_N20_omega_0.5.json,20,0.5,4,0.9266952979263046,0.9485855102539062
analysis_CTNN_N20_omega_0.5.json,20,0.5,6,0.8908721371219182,0.9226066470146179
analysis_CTNN_N20_omega_0.5.json,20,0.5,8,0.8549761175164046,0.8939641118049622
analysis_CTNN_N20_omega_0.5.json,20,0.5,12,0.7810103573551974,0.8356165289878845
analysis_CTNN_N20_omega_1.0.json,20,1.0,1,0.9812695493589367,0.9873743653297424
analysis_CTNN_N20_omega_1.0.json,20,1.0,2,0.9626547106147542,0.9747200012207031
analysis_CTNN_N20_omega_1.0.json,20,1.0,3,0.9437198905159072,0.9612053036689758
analysis_CTNN_N20_omega_1.0.json,20,1.0,4,0.9252838395700825,0.9485014081001282
analysis_CTNN_N20_omega_1.0.json,20,1.0,6,0.8886090593864039,0.922494649887085
analysis_CTNN_N20_omega_1.0.json,20,1.0,8,0.8520235354387908,0.8927304148674011
analysis_CTNN_N20_omega_1.0.json,20,1.0,12,0.7772062966834745,0.8352788090705872
