file,N,omega,idx,corr
analysis_CTNN_N2_omega_0.001.json,2,0.001,0,-0.11624436986889126
analysis_CTNN_N2_omega_0.001.json,2,0.001,1,0.10351723405097558
analysis_CTNN_N2_omega_0.001.json,2,0.001,2,0.06921903094346424
analysis_CTNN_N2_omega_0.001.json,2,0.001,3,0.11222798118030586
analysis_CTNN_N2_omega_0.001.json,2,0.001,4,0.08535971427837206
analysis_CTNN_N2_omega_0.001.json,2,0.001,5,-0.1726011090450755
analysis_CTNN_N2_omega_0.001.json,2,0.001,6,0.1713328038530937
analysis_CTNN_N2_omega_0.001.json,2,0.001,7,-0.17255513464757302
analysis_CTNN_N2_omega_0.001.json,2,0.001,8,0.17197887956426386
analysis_CTNN_N2_omega_0.001.json,2,0.001,9,0.1717149419266479
analysis_CTNN_N2_omega_0.001.json,2,0.001,10,-0.0990860803444642
analysis_CTNN_N2_omega_0.001.json,2,0.001,11,-0.11427805132366438
analysis_CTNN_N2_omega_0.01.json,2,0.01,0,-0.010431159310142065
analysis_CTNN_N2_omega_0.01.json,2,0.01,1,0.010329610584282922
analysis_CTNN_N2_omega_0.01.json,2,0.01,2,-0.01001115400615738
analysis_CTNN_N2_omega_0.01.json,2,0.01,3,0.010349636908553157
analysis_CTNN_N2_omega_0.01.json,2,0.01,4,0.010429754989375355
analysis_CTNN_N2_omega_0.01.json,2,0.01,5,-0.047732038415537914
analysis_CTNN_N2_omega_0.01.json,2,0.01,6,0.05605575328839089
analysis_CTNN_N2_omega_0.01.json,2,0.01,7,-0.050188043431598904
analysis_CTNN_N2_omega_0.01.json,2,0.01,8,0.06554293673762852
analysis_CTNN_N2_omega_0.01.json,2,0.01,9,0.05964283877813008
analysis_CTNN_N2_omega_0.01.json,2,0.01,10,-0.01038398304327281
analysis_CTNN_N2_omega_0.01.json,2,0.01,11,-0.021856432491808495
analysis_CTNN_N2_omega_0.1.json,2,0.1,0,0.013901113910018182
analysis_CTNN_N2_omega_0.1.json,2,0.1,1,-0.051912512661374983
analysis_CTNN_N2_omega_0.1.json,2,0.1,2,-0.060411169440850995
analysis_CTNN_N2_omega_0.1.json,2,0.1,3,-0.059524506590317314
analysis_CTNN_N2_omega_0.1.json,2,0.1,4,-0.06019904844990722
analysis_CTNN_N2_omega_0.1.json,2,0.1,5,-0.13188064303582156
analysis_CTNN_N2_omega_0.1.json,2,0.1,6,-0.11456842264879244
analysis_CTNN_N2_omega_0.1.json,2,0.1,7,-0.17260661059343593
analysis_CTNN_N2_omega_0.1.json,2,0.1,8,-0.13514772873269437
analysis_CTNN_N2_omega_0.1.json,2,0.1,9,-0.15547485132499375
analysis_CTNN_N2_omega_0.1.json,2,0.1,10,0.060024123829527286
analysis_CTNN_N2_omega_0.1.json,2,0.1,11,0.12050891214432241
analysis_CTNN_N2_omega_0.5.json,2,0.5,0,0.41754651614356963
analysis_CTNN_N2_omega_0.5.json,2,0.5,1,-0.3563442098108878
analysis_CTNN_N2_omega_0.5.json,2,0.5,2,-0.10720842872381245
analysis_CTNN_N2_omega_0.5.json,2,0.5,3,-0.32405775549598953
analysis_CTNN_N2_omega_0.5.json,2,0.5,4,-0.37325929398540836
analysis_CTNN_N2_omega_0.5.json,2,0.5,5,-0.349789669546573
analysis_CTNN_N2_omega_0.5.json,2,0.5,6,-0.3469868738293406
analysis_CTNN_N2_omega_0.5.json,2,0.5,7,-0.3552461785847488
analysis_CTNN_N2_omega_0.5.json,2,0.5,8,0.34937386121931896
analysis_CTNN_N2_omega_0.5.json,2,0.5,9,0.3491252578408079
analysis_CTNN_N2_omega_0.5.json,2,0.5,10,-0.44367352546832123
analysis_CTNN_N2_omega_0.5.json,2,0.5,11,-0.3477564690305779
analysis_CTNN_N2_omega_1.0.json,2,1.0,0,-0.12745861210427578
analysis_CTNN_N2_omega_1.0.json,2,1.0,1,0.15047959446617698
analysis_CTNN_N2_omega_1.0.json,2,1.0,2,-0.10781133413139872
analysis_CTNN_N2_omega_1.0.json,2,1.0,3,0.00799163852389974
analysis_CTNN_N2_omega_1.0.json,2,1.0,4,-0.0796786182293432
analysis_CTNN_N2_omega_1.0.json,2,1.0,5,-0.8748914549135792
analysis_CTNN_N2_omega_1.0.json,2,1.0,6,-0.8774332313996686
analysis_CTNN_N2_omega_1.0.json,2,1.0,7,-0.8743549121569003
analysis_CTNN_N2_omega_1.0.json,2,1.0,8,0.7612909419181596
analysis_CTNN_N2_omega_1.0.json,2,1.0,9,0.8649499752235954
analysis_CTNN_N2_omega_1.0.json,2,1.0,10,-0.6047814329252418
analysis_CTNN_N2_omega_1.0.json,2,1.0,11,-0.856968111501064
analysis_CTNN_N6_omega_0.001.json,6,0.001,0,-0.14867243616679368
analysis_CTNN_N6_omega_0.001.json,6,0.001,1,0.16680057342145968
analysis_CTNN_N6_omega_0.001.json,6,0.001,2,0.0983823665123947
analysis_CTNN_N6_omega_0.001.json,6,0.001,3,0.17992305134593276
analysis_CTNN_N6_omega_0.001.json,6,0.001,4,0.03230956274856229
analysis_CTNN_N6_omega_0.001.json,6,0.001,5,0.08732082160234046
analysis_CTNN_N6_omega_0.001.json,6,0.001,6,0.08945664838976665
analysis_CTNN_N6_omega_0.001.json,6,0.001,7,0.0675587856848008
analysis_CTNN_N6_omega_0.001.json,6,0.001,8,0.07061192511708216
analysis_CTNN_N6_omega_0.001.json,6,0.001,9,0.09561383985797425
analysis_CTNN_N6_omega_0.001.json,6,0.001,10,-0.03273371248683164
analysis_CTNN_N6_omega_0.001.json,6,0.001,11,-0.03767902593268612
analysis_CTNN_N6_omega_0.01.json,6,0.01,0,-0.002183131660657722
analysis_CTNN_N6_omega_0.01.json,6,0.01,1,-0.05653355933687601
analysis_CTNN_N6_omega_0.01.json,6,0.01,2,-0.023886110725776625
analysis_CTNN_N6_omega_0.01.json,6,0.01,3,0.0023849723025242834
analysis_CTNN_N6_omega_0.01.json,6,0.01,4,-0.00649664695706437
analysis_CTNN_N6_omega_0.01.json,6,0.01,5,0.06544821865351284
analysis_CTNN_N6_omega_0.01.json,6,0.01,6,0.06613585318569204
analysis_CTNN_N6_omega_0.01.json,6,0.01,7,0.06573178304246488
analysis_CTNN_N6_omega_0.01.json,6,0.01,8,0.0650649440181455
analysis_CTNN_N6_omega_0.01.json,6,0.01,9,0.06253050399679444
analysis_CTNN_N6_omega_0.01.json,6,0.01,10,-0.027358984674310555
analysis_CTNN_N6_omega_0.01.json,6,0.01,11,-0.03745055362255221
analysis_CTNN_N6_omega_0.1.json,6,0.1,0,0.0020759810768644603
analysis_CTNN_N6_omega_0.1.json,6,0.1,1,-0.05505224490433359
analysis_CTNN_N6_omega_0.1.json,6,0.1,2,0.11135086272586214
analysis_CTNN_N6_omega_0.1.json,6,0.1,3,0.10199237123256961
analysis_CTNN_N6_omega_0.1.json,6,0.1,4,0.12203368831744502
