file,N,omega,d,sampler,sigma_step,acc_noBF,acc_BF,E_noBF,SE_noBF,E_BF,SE_BF,dE,dE_rel,z_dE,winsor_pct
analysis_CTNN_N2_omega_0.001.json,2,0.001,2,rw,6.32455532033676,0.8434000651041667,0.8438639322916667,0.013797376173675758,6.097947241733931e-06,0.013817721741711149,2.7285035299534045e-05,2.0345568035391032e-05,0.0014745968928649403,0.7277151224338729,0.0
analysis_CTNN_N2_omega_0.01.json,2,0.01,2,rw,2.0,0.5999308268229167,0.5995747884114583,0.07490832089462265,0.0010911213795785628,0.07470644324254562,0.001093370411743281,-0.00020187765207703434,-0.00269499635909642,-0.1306930808039782,0.0
analysis_CTNN_N2_omega_0.1.json,2,0.1,2,rw,0.6324555320336759,0.5993733723958333,0.5979044596354167,0.44076294254283804,3.117027102316808e-05,0.44076370275898397,3.000590467193691e-05,7.602161459230317e-07,1.7247732795711286e-06,0.017570782953346714,0.0
analysis_CTNN_N2_omega_0.5.json,2,0.5,2,rw,0.282842712474619,0.599200439453125,0.5987141927083334,1.6597719821110402,6.018769212109231e-05,1.6597536801147559,6.122053688034992e-05,-1.8301996284275646e-05,-1.1026813611468244e-05,-0.21318155301836475,0.0
analysis_CTNN_N2_omega_1.0.json,2,1,2,rw,0.2,0.5996195475260416,0.5979695638020833,3.0002894510967013,0.0003647224514121579,3.000097161923409,0.00012019155730759584,-0.00019228917329217055,-6.409020743711335e-05,-0.5007318711443345,0.0
analysis_CTNN_N6_omega_0.001.json,6,0.001,2,rw,6.32455532033676,0.6691909889380138,0.6734184821446737,0.14151381363542145,0.00010071126106911349,0.14153325011110138,8.981992720678969e-05,1.943647567992368e-05,0.0001373468439625081,0.14403168641100328,0.0
analysis_CTNN_N6_omega_0.01.json,6,0.01,2,rw,2.0,0.6124999980131786,0.6173661748568217,0.692246147127107,0.0003334165091623781,0.6903141614673337,0.00019016508121111767,-0.001931985659773261,-0.0027908940595642185,-5.033375101594879,0.0
analysis_CTNN_N6_omega_0.1.json,6,0.1,2,rw,0.6324555320336759,0.6073600927988688,0.5933698256810506,3.5683526882010486,0.0026823140488421863,3.55330221420048,0.000907257629611968,-0.015050474000568581,-0.004217765259116283,-5.315194744703486,0.0
analysis_CTNN_N6_omega_0.5.json,6,0.5,2,rw,0.282842712474619,0.6020072917143504,0.593826029698054,11.863588585228905,0.016636887372802146,11.783132334708075,0.0036819357340891145,-0.08045625052083061,-0.00678178022971944,-4.721764847352836,0.0
analysis_CTNN_N6_omega_1.0.json,6,1,2,rw,0.2,0.6080900172392527,0.5897506038347881,20.311307751998164,0.028356729380054523,20.14428133651581,0.005515393826558252,-0.1670264154823542,-0.008223321586268744,-5.781836829885418,0.0
analysis_CTNN_N12_omega_0.001.json,12,0.001,2,rw,6.32455532033676,0.5693734725316365,0.5653588771820068,0.5164068572665935,0.0040363512291904215,0.514217688069134,0.003103234260784667,-0.002189169197459484,-0.004239233400282545,-0.4299752419181987,0.0
analysis_CTNN_N12_omega_0.01.json,12,0.01,2,rw,2.0,0.6005474368731181,0.6080900152524312,2.476866937487775,0.001085714765728844,2.4771277096593085,0.0015111484897064294,0.0002607721715333078,0.00010528307661040627,0.14014447829346618,0.0
analysis_CTNN_N12_omega_0.1.json,12,0.1,2,rw,0.6324555320336759,0.6441605746746063,0.6507603367169698,12.333250733495595,0.008474356523116238,12.268823642822884,0.003627720796056605,-0.06442709067271046,-0.005223853148281044,-6.9891238737554815,0.0
analysis_CTNN_N12_omega_0.5.json,12,0.5,2,rw,0.282842712474619,0.6394160568714142,0.6439172685146332,39.483521392453625,0.03076670715239308,39.16589505673602,0.00889050653020395,-0.31762633571760546,-0.008044529072280582,-9.917925813063281,0.0
analysis_CTNN_N12_omega_1.0.json,12,1,2,rw,0.2,0.639598532517751,0.6447688519954682,66.35372513571207,0.05075812225453004,65.7041381933559,0.014993171062540524,-0.6495869423561658,-0.009789758465369915,-12.27344868010945,0.0
analysis_CTNN_N20_omega_0.001 (1).json,20,0.001,2,rw,6.32455532033676,0.5698905050754547,0.5685827175776164,0.5977434962535421,0.009307029295246641,0.5850865341726523,0.00950145292355345,-0.012656962080889733,-0.021174570966006945,-0.9516286842089416,0.0
analysis_CTNN_N20_omega_0.001.json,20,0.001,2,rw,6.32455532033676,0.5698905050754547,0.5685827175776164,0.5977434962535421,0.009307029295246641,0.5850865341726523,0.00950145292355345,-0.012656962080889733,-0.021174570966006945,-0.9516286842089416,0.0
analysis_CTNN_N20_omega_0.01.json,20,0.01,2,rw,2.0,0.5350060760974884,0.5263686100641887,6.128648674415898,0.0047673412854564645,5.904275315709655,0.23297298749983636,-0.2243733587062433,-0.03661057610348787,-0.9628858656396141,0.0
analysis_CTNN_N20_omega_0.5.json,20,0.5,2,rw,0.282842712474619,0.6373479266961416,0.6464416027069092,94.0011040131146,0.06167006627864861,93.90530446634021,0.02446514963217736,-0.09579954677438707,-0.0010191321450971635,-1.4439469264953289,0.0
analysis_CTNN_N20_omega_1.0.json,20,1,2,rw,0.2,0.6420316259066264,0.6514598468939463,155.712587199214,0.09691656707130535,155.54789049379352,0.03443198263597695,-0.1646967054204822,-0.0010576968014138395,-1.6013095010668974,0.0
