N,omega,S,occ,cuts,pt,frames_used,psi_mag_mean,psi_mag_std,EVR1,EVR2,classical_Vmin,comm_rel,cos_poly,cos_uni,delta_cos,effrank,pair_L2,pair_rmax,principal_angle_max_deg,principal_angle_mean_deg,r_shell0_mean,r_shell1_mean,r_shell2_mean,soft_capture,var_k50,var_k80,var_k95,varrank_capture,varrank_weighted_angle_deg,w_10,w_3,w_5,w_b,weighted_angle_deg
2,0.001,1,(2),(),../results/tables/2/omega_0.00100/20251218_161124/gr_N2_run_omega_0.00100.pt,33400,1.0,5.62376814428227e-17,0.5058967743940327,0.49410322560596737,0.059025935579269204,0.009005202400317457,0.9983655378257911,0.6770214190939907,0.32134411873180035,1.9998609138190375,0.005880791204102328,193.93248505985463,8.537736462515939e-07,2.1344341156289847e-07,65.03862390092459,,,1.0,1,2,2,1.0,0.0,1.0,0.503127336251109,1.0,0.49687266374889116,0.0
2,0.01,1,(2),(),../results/tables/2/omega_0.01000/20251029_231316/gr_N2_run_omega_0.01000.pt,59989,1.0,5.630452618171388e-17,0.5023911611358676,0.4976088388641324,0.13157618696501536,0.0019440329833756054,0.9979106057443358,0.7049225263416843,0.2929880794026515,1.99997712943728,0.006119751562411878,47.53933109517391,1.7075472925031877e-06,4.2688682312579694e-07,13.642995012998579,,,0.9999999999999998,1,2,2,1.0,0.0,1.0,0.5021360470514724,1.0,0.4978639529485276,0.0
2,0.1,1,(2),(),../results/tables/2/omega_0.10000/20251029_231312/gr_N2_run_omega_0.10000.pt,59989,1.0,5.614921817628118e-17,0.5051811368106321,0.4948188631893679,0.301795047900549,0.0007917372544418434,0.9976282366244158,0.7383205121274775,0.2593077244969383,1.999892624246181,0.005929665066763545,13.212601400313416,8.537736462515939e-07,4.2688682312579694e-07,3.373859664552069,,,1.0,1,2,2,0.9999999999999999,4.224633050592552e-07,1.0000000000000004,0.5051626169466361,1.0000000000000004,0.49483738305336433,4.860139622360751e-24
2,0.5,1,(2),(),../results/tables/2/omega_0.50000/20251029_231249/gr_N2_run_omega_0.50000.pt,59989,1.0,5.591820327043342e-17,0.5003585250992008,0.49964147490079913,0.7527439871914663,0.0006395984109707104,0.997170391230983,0.7567404240010371,0.24042996722994592,1.9999994858390413,0.006253206275318733,5.377513217913337,0.0,0.0,1.244113392007522,,,1.0,1,2,2,1.0,0.0,0.9999999999999993,0.5000595365249849,0.9999999999999993,0.4999404634750144,0.0
2,1.0,1,(2),(),../results/tables/2/omega_1.00000/20251029_231309/gr_N2_run_omega_1.00000.pt,59989,1.0,5.597329330048065e-17,0.5012013014433598,0.4987986985566401,1.3094489750169112,0.0021685309480209162,0.9976081728103433,0.7639377606610566,0.23367041214928674,1.9999942275021456,0.005699979774233981,3.7022942746741783,8.537736462515939e-07,8.537736462515939e-07,0.8205355483567259,,,0.9999999999999998,1,2,2,0.9999999999999997,7.376132069878395e-07,0.9999999999999996,0.5000790071600278,0.9999999999999996,0.49992099283997177,8.537736462515939e-07
6,0.001,2,"(1,5)",(1),../results/tables/6/omega_0.00100/20251230_143725/gr_N6_run_omega_0.00100.pt,30000,0.7071621930121275,0.19507605173569428,0.11831913661550869,0.11202053627755597,0.701938023367166,0.02772779049249482,0.8566396547664933,0.9536047436237143,-0.096965088857221,9.932948388047356,0.060273500242046155,317.9019491931507,89.99999999999999,56.810052249660195,35.56342045774815,135.1598876521124,,0.37713987737364385,5,8,10,0.5344775805803699,40.78857027819944,0.8034266994866459,0.2981132391843423,0.2981132391843423,0.09796800478129171,55.1286314140314
6,0.01,2,"(1,5)",(1),../results/tables/6/omega_0.01000/20251231_002529/gr_N6_run_omega_0.01000.pt,30000,0.4617218599115967,0.2054652849674061,0.11498370316464057,0.11258160715142244,1.5163046259048805,0.052749522732048436,0.8573208232071865,0.9501676087323017,-0.09284678552511516,9.78317086071114,0.052155494305704035,75.66532318972955,90.0,57.12734784551324,13.408709589083678,29.38376294274826,,0.3503496701896147,5,8,10,0.5096236015111403,43.63013692630265,0.7948683399863609,0.2982302722959811,0.29823027229598115,0.09224828154922858,56.4576707237268
6,0.1,2,"(1,5)",(1),../results/tables/6/omega_0.10000/20251030_093416/gr_N6_run_omega_0.10000.pt,59600,0.4149722439024741,0.19867057243442238,0.11284439153055917,0.11243407149020929,3.5480329016423293,0.05626173091354257,0.9142866279184746,0.9659087297589726,-0.05162210184049798,9.77480148698636,0.03927264936555231,18.62712935298431,89.99999999999999,55.56426954254164,3.0153663946786597,6.683468425235149,,0.3975922615134198,5,8,10,0.5118957025483507,43.66423619931241,0.7932373215144549,0.30428181187358155,0.3042818118735816,0.09241536722542588,55.13400467645136
6,0.5,2,"(1,5)",(1),../results/tables/6/omega_0.50000/20251030_093432/gr_N6_run_omega_0.50000.pt,59600,0.40203120635070744,0.19603293662149207,0.11275216727653203,0.11255452822469107,8.41568267157389,0.05877690340982508,0.9395576218099042,0.9735553740182901,-0.033997752208385856,9.734494859839037,0.03293418602373567,7.133745288540193,90.0,59.4758752181271,1.0999982161629536,2.4493319321419023,,0.3279189848084161,5,8,10,0.5180759734319842,43.6366733317165,0.791589108851502,0.3016381355091451,0.3016381355091451,0.09226884384182092,59.21957265973931
6,1.0,2,"(1,5)",(1),../results/tables/6/omega_1.00000/20251030_093439/gr_N6_run_omega_1.00000.pt,59600,0.4009778878439745,0.19567953851776818,0.11299548145109523,0.1119735937773319,14.160673817140179,0.05976548281532563,0.9452209910760239,0.9758118439154905,-0.03059085283946661,9.728687083389916,0.031417792590550275,4.778506026998977,89.99999999999999,57.0648330119241,0.7283453633198853,1.6146595825969239,,0.378174676572187,5,8,10,0.5188453195708976,43.65342595874848,0.7937375652979917,0.30048842591384683,0.30048842591384683,0.09244844686101858,56.8733639923586
12,0.001,2,"(3,9)",(3),../results/tables/12/omega_0.00100/20260105_112435/gr_N12_run_omega_0.00100.pt,42000,0.4817671330458394,0.21014696078632794,0.0596728628740621,0.057734535839079205,3.6590561218773288,0.03725473254071586,0.7612581311304599,0.9538569037783946,-0.19259877264793468,21.388106424386226,0.07539313721008083,433.3192162612184,86.58742672388748,60.751542823246005,76.8660749522666,189.24528797536775,,0.2821308065211459,10,16,20,0.6731247189689462,31.585595625096776,0.36101120486046184,0.1324340362502413,0.22345754607174118,0.03914601573581113,60.01738687612077
