N,omega,S,occ,cuts,Bs,rho_max,nncv,r_peak,peak_valley,pt
6,0.001,2,"(1,5)",(1),"0.626, 0.055",0.180,"-, 0.213",1.125,0.749,../results/tables/6/omega_0.00100/20251230_143725/gr_N6_run_omega_0.00100.pt
6,0.01,2,"(1,5)",(1),"0.418, 0.079",0.025,"-, 0.316",1.158,0.684,../results/tables/6/omega_0.01000/20251231_002529/gr_N6_run_omega_0.01000.pt
6,0.1,2,"(1,5)",(1),"0.412, 0.107",0.171,"-, 0.383",1.213,0.597,../results/tables/6/omega_0.10000/20251030_093416/gr_N6_run_omega_0.10000.pt
6,0.5,2,"(1,5)",(1),"0.427, 0.126",0.229,"-, 0.429",1.237,0.528,../results/tables/6/omega_0.50000/20251030_093432/gr_N6_run_omega_0.50000.pt
6,1.0,2,"(1,5)",(1),"0.431, 0.134",0.291,"-, 0.448",1.225,0.484,../results/tables/6/omega_1.00000/20251030_093439/gr_N6_run_omega_1.00000.pt
12,0.001,2,"(3,9)",(3),"0.548, 0.197",0.968,"0.222, 0.235",1.173,0.572,../results/tables/12/omega_0.00100/20251230_182838/gr_N20_run_omega_0.00100.pt
12,0.01,2,"(1,11)",(1),"0.410, 0.043",0.076,"-, 0.274",1.269,0.484,../results/tables/12/omega_0.01000/20251230_201654/gr_N12_run_omega_0.01000.pt
12,0.1,2,"(1,11)",(1),"0.454, 0.059",0.098,"-, 0.360",1.385,0.378,../results/tables/12/omega_0.10000/20251104_173835/gr_N12_run_omega_0.10000.pt
12,0.5,2,"(1,11)",(1),"0.471, 0.071",0.182,"-, 0.416",-,0.000,../results/tables/12/omega_0.50000/20251104_152827/gr_N12_run_omega_0.50000.pt
12,1.0,2,"(1,11)",(1),"0.473, 0.076",0.179,"-, 0.435",-,0.000,../results/tables/12/omega_1.00000/20251104_194000/gr_N12_run_omega_1.00000.pt
20,0.001,3,"(1,7,12)","(1,8)","0.466, 0.042, 0.019",0.121,"-, 0.266, 0.248",1.232,0.451,../results/tables/20/omega_0.00100/20260102_172150/gr_N12_run_omega_0.00100.pt
20,0.01,2,"(1,19)",(1),"0.487, 0.050",0.346,"-, 0.298",1.344,0.357,../results/tables/20/omega_0.01000/20251231_002549/gr_N20_run_omega_0.01000.pt
20,0.1,2,"(1,19)",(1),"0.423, 0.038",0.127,"-, 0.369",-,0.000,../results/tables/20/omega_0.10000/20251228_113215/gr_N12_run_omega_0.10000.pt
20,0.5,2,"(1,19)",(1),"0.438, 0.047",0.118,"-, 0.418",-,0.000,../results/tables/20/omega_0.50000/20251228_135142/gr_N20_run_omega_0.50000.pt
20,1.0,2,"(1,19)",(1),"0.444, 0.051",0.152,"-, 0.436",-,0.000,../results/tables/20/omega_1.00000/20251228_180301/gr_N20_run_omega_1.00000.pt
