N,omega,S,occ,cuts,B_s_per_shell,rho_max_B20,NN_CV_per_shell,psi_mean_per_shell,psi_std_per_shell,r_peak,peak_valley
6,0.001,2,"(1,5)",(1),"0.626, 0.055",0.180,"-, 0.213","-, 0.654","-, 0.216",1.120,1.000
6,0.01,2,"(1,5)",(1),"0.418, 0.079",0.025,"-, 0.316","-, 0.434","-, 0.210",1.150,0.966
6,0.1,2,"(1,5)",(1),"0.412, 0.107",0.166,"-, 0.382","-, 0.405","-, 0.198",1.171,0.875
6,0.5,2,"(1,5)",(1),"0.423, 0.126",0.264,"-, 0.429","-, 0.397","-, 0.195",1.187,0.801
6,1.0,2,"(1,5)",(1),"0.430, 0.134",0.257,"-, 0.447","-, 0.397","-, 0.195",1.132,0.770
12,0.001,2,"(3,9)",(3),"0.548, 0.197",0.968,"0.222, 0.235","0.611, 0.462","0.250, 0.206",1.174,0.809
12,0.01,2,"(1,11)",(1),"0.410, 0.043",0.076,"-, 0.274","-, 0.275","-, 0.139",1.229,0.664
12,0.1,2,"(1,11)",(1),"0.453, 0.058",0.120,"-, 0.361","-, 0.270","-, 0.138",1.367,0.522
12,0.5,2,"(1,11)",(1),"0.471, 0.071",0.182,"-, 0.416","-, 0.268","-, 0.136",1.522,0.447
12,1.0,2,"(1,11)",(1),"0.474, 0.076",0.124,"-, 0.436","-, 0.268","-, 0.137",1.559,0.413
20,0.001,3,"(1,7,12)","(1,8)","0.466, 0.042, 0.019",0.121,"-, 0.266, 0.248","-, 0.398, 0.375","-, 0.193, 0.179",1.192,0.661
20,0.01,2,"(1,19)",(1),"0.487, 0.050",0.346,"-, 0.298","-, 0.205","-, 0.109",1.285,0.480
20,0.1,2,"(1,19)",(1),"0.423, 0.038",0.127,"-, 0.369","-, 0.204","-, 0.106",1.484,0.345
20,0.5,2,"(1,19)",(1),"0.438, 0.047",0.118,"-, 0.418","-, 0.203","-, 0.105",1.634,0.274
20,1.0,2,"(1,19)",(1),"0.444, 0.051",0.152,"-, 0.436","-, 0.204","-, 0.104",1.683,0.247
