N,omega,S,occ,cuts,R2_radial_shellfit,d_fit_min,ang_rmse_frac_per_shell
6,0.001,2,"(1,5)",(1),0.7674,3.334,"-, 0.150"
6,0.01,2,"(1,5)",(1),0.4795,1.911,"-, 0.287"
6,0.1,2,"(1,5)",(1),0.3909,1.715,"-, 0.377"
6,0.5,2,"(1,5)",(1),0.3499,1.604,"-, 0.433"
6,1.0,2,"(1,5)",(1),0.3382,1.570,"-, 0.454"
12,0.001,2,"(3,9)",(3),0.5156,1.660,"0.183, 0.254"
12,0.01,2,"(1,11)",(1),0.3490,2.373,"-, 0.437"
12,0.1,2,"(1,11)",(1),0.3116,2.179,"-, 0.507"
12,0.5,2,"(1,11)",(1),0.2843,2.046,"-, 0.558"
12,1.0,2,"(1,11)",(1),0.2753,2.005,"-, 0.578"
20,0.001,3,"(1,7,12)","(1,8)",0.8427,2.501,"-, 0.350, 0.314"
20,0.01,2,"(1,19)",(1),0.2216,2.256,"-, 0.546"
20,0.1,2,"(1,19)",(1),0.2037,2.172,"-, 0.612"
20,0.5,2,"(1,19)",(1),0.1900,2.081,"-, 0.674"
20,1.0,2,"(1,19)",(1),0.1852,2.048,"-, 0.700"
