N,omega,S,occ,cuts,R2_radial_shellfit,d_fit_min,ang_rmse_frac_per_shell,R2_rad,ang_rmse_per_shell,ang_rmse_outer,peak_valley,W_rad,W_ang,W_pair,WignerScore
6,0.001,2,"(1,5)",(1),0.7674,3.334,"-, 0.150",0.7674,"-, 0.150",0.15,0.749,0.7674,0.8607079764250578,0.749,0.4947199685303334
6,0.01,2,"(1,5)",(1),0.4795,1.911,"-, 0.287",0.4795,"-, 0.287",0.287,0.684,0.4795,0.750511728837068,0.684,0.2461513358005239
6,0.1,2,"(1,5)",(1),0.3909,1.715,"-, 0.377",0.3909,"-, 0.377",0.377,0.597,0.3909,0.6859160738960202,0.597,0.1600703821917147
6,0.5,2,"(1,5)",(1),0.3499,1.604,"-, 0.433",0.3499,"-, 0.433",0.433,0.528,0.3499,0.6485604918049761,0.528,0.11981973489159227
6,1.0,2,"(1,5)",(1),0.3382,1.570,"-, 0.454",0.3382,"-, 0.454",0.454,0.484,0.3382,0.6350827332459281,0.484,0.10395593050574607
12,0.001,2,"(3,9)",(3),0.5156,1.660,"0.183, 0.254",0.5156,"0.183, 0.254",0.254,0.572,0.5156,0.775691802046476,0.572,0.22876950847331323
12,0.01,2,"(1,11)",(1),0.3490,2.373,"-, 0.437",0.3490,"-, 0.437",0.437,0.484,0.349,0.6459714314106245,0.484,0.10911491030815704
12,0.1,2,"(1,11)",(1),0.3116,2.179,"-, 0.507",0.3116,"-, 0.507",0.507,0.378,0.3116,0.6022997704830654,0.378,0.07094175800639375
12,0.5,2,"(1,11)",(1),0.2843,2.046,"-, 0.558",0.2843,"-, 0.558",0.558,0.0,0.2843,0.5723526251566332,0.0,0.0
12,1.0,2,"(1,11)",(1),0.2753,2.005,"-, 0.578",0.2753,"-, 0.578",0.578,0.0,0.2753,0.5610192838421706,0.0,0.0
20,0.001,3,"(1,7,12)","(1,8)",0.8427,2.501,"-, 0.350, 0.314",0.8427,"-, 0.350, 0.314",0.314,0.451,0.8427,0.7305190281594249,0.451,0.27763938164850627
20,0.01,2,"(1,19)",(1),0.2216,2.256,"-, 0.546",0.2216,"-, 0.546",0.546,0.357,0.2216,0.579262231380782,0.357,0.04582613023921132
20,0.1,2,"(1,19)",(1),0.2037,2.172,"-, 0.612",0.2037,"-, 0.612",0.612,0.0,0.2037,0.5422652533139832,0.0,0.0
20,0.5,2,"(1,19)",(1),0.1900,2.081,"-, 0.674",0.1900,"-, 0.674",0.674,0.0,0.19,0.5096658316912476,0.0,0.0
20,1.0,2,"(1,19)",(1),0.1852,2.048,"-, 0.700",0.1852,"-, 0.700",0.7,0.0,0.1852,0.4965853037914095,0.0,0.0
